Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value
AAPL,Apple Inc,Common stocks,Large cap,Information Technology,"$2,865,693,839,600",0.50%,29.04,7.57,40.6
MSFT,Microsoft Corp,Common stocks,Large cap,Information Technology,"$2,329,276,399,180",0.76%,33.22,12.6,14.78
GOOG,Alphabet Inc Class C,Common stocks,Large cap,Communication Services,"$1,916,810,491,712",0.00%,11.89,7.44,3.59
GOOGL,Alphabet Inc Class A,Common stocks,Large cap,Communication Services,"$1,916,810,491,712",0.00%,11.27,7.44,3.41
AMZN,Amazon.Com Inc.,Common stocks,Large cap,Consumer Discretionary,"$1,719,797,425,362",0.00%,51.65,3.66,12.46
TSLA,Tesla Inc,Common stocks,Large cap,Consumer Discretionary,"$1,096,496,536,008",0.00%,200.08,20.37,36.58
BRK.B,Berkshire Hathaway Inc. Class B,Common stocks,Large cap,Financials,"$794,424,088,901",0.00%,5.09,2.24,0.9
NVDA,Nvidia Corp,Common stocks,Large cap,Information Technology,"$708,296,900,000",0.06%,73.75,26.32,27.03
FB,Facebook Inc Class A,Common stocks,Large cap,Communication Services,"$638,125,888,620",0.00%,13.48,5.41,4.25
V,Visa Inc Class A,Common stocks,Large cap,Information Technology,"$486,577,080,000",0.63%,29.08,19.1,10.45
UNH,Unitedhealth Group Inc,Common stocks,Large cap,Health Care,"$482,869,441,727",1.12%,27.8,1.69,6.7
JNJ,Johnson & Johnson,Common stocks,Large cap,Health Care,"$467,562,756,537",2.36%,22.38,4.99,6.31
JPM,JP Morgan Chase & Co,Common stocks,Large cap,Financials,"$415,962,199,604",2.67%,8.96,3.42,1.42
WMT,Walmart Stores Inc,Common stocks,Large cap,Consumer Staples,"$404,986,254,868",1.50%,29.87,0.71,4.91
PG,Procter & Gamble,Common stocks,Large cap,Consumer Staples,"$372,381,570,388",2.24%,25.93,4.75,8.43
BAC,Bank of America Corp,Common stocks,Large cap,Financials,"$351,224,428,718",1.85%,11.47,3.94,1.3
XOM,Exxon Mobil Corp,Common stocks,Large cap,Energy,"$350,583,789,045",4.15%,15.14,1.27,2.07
MA,Mastercard Inc Class A,Common stocks,Large cap,Information Technology,"$339,880,476,683",0.52%,41.03,18,48.28
HD,Home Depot Inc,Common stocks,Large cap,Consumer Discretionary,"$324,761,216,943",2.16%,19.98,2.15,-193.58
CVX,Chevron Corp,Common stocks,Large cap,Energy,"$323,975,499,107",3.22%,20.48,2.08,2.3
PFE,Pfizer Inc,Common stocks,Large cap,Health Care,"$300,913,423,229",2.91%,13.55,3.69,3.85
ABBV,Abbvie Inc,Common stocks,Large cap,Health Care,"$286,085,169,140",3.23%,24.82,5.09,18.59
LLY,Eli Lilly,Common stocks,Large cap,Health Care,"$277,761,562,769",1.20%,49.21,9.81,30.59
KO,Coca-Cola,Common stocks,Large cap,Consumer Staples,"$268,422,885,446",2.71%,27.58,6.94,11.72
AVGO,Broadcom Inc.,Common stocks,Large cap,Information Technology,"$258,392,986,870",2.97%,34.78,9.07,11.4
DIS,Walt Disney,Common stocks,Large cap,Communication Services,"$252,558,266,358",0.00%,84.11,3.46,2.88
COST,Costco Wholesale Corp,Common stocks,Large cap,Consumer Staples,"$250,514,800,951",0.56%,45.82,1.19,12.65
PEP,Pepsico Inc,Common stocks,Large cap,Consumer Staples,"$229,147,072,243",2.57%,30.53,2.88,14.5
CSCO,Cisco Systems Inc,Common stocks,Large cap,Information Technology,"$229,060,823,520",2.66%,19.56,4.44,5.86
TMO,Thermo Fisher Scientific Inc,Common stocks,Large cap,Health Care,"$228,139,128,346",0.19%,30.02,5.82,5.69
ORCL,Oracle Corp,Common stocks,Large cap,Information Technology,"$223,057,925,200",1.52%,29.74,5.33,-25.86
ACN,Accenture Plc Class A,Common stocks,Large cap,Information Technology,"$219,093,525,343",1.11%,35.31,3.86,10.67
CMCSA,Comcast A Corp,Common stocks,Large cap,Communication Services,"$215,015,546,204",2.09%,15.27,1.85,2.25
VZ,Verizon Communications Inc,Common stocks,Large cap,Communication Services,"$214,802,636,785",6.12%,9.75,1.61,2.63
CRM,Salesforce.Com Inc,Common stocks,Large cap,Information Technology,"$213,127,200,000",0.00%,151.72,8.05,3.77
ADBE,Adobe Inc,Common stocks,Large cap,Information Technology,"$212,562,551,557",0.00%,45.63,13.17,15.99
NKE,Nike Inc Class B,Common stocks,Large cap,Consumer Discretionary,"$211,628,784,457",0.86%,35.97,4.52,18.24
ABT,Abbott Laboratories,Common stocks,Large cap,Health Care,"$211,600,237,217",1.51%,29.98,4.91,5.92
INTC,Intel Corporation Corp,Common stocks,Large cap,Information Technology,"$209,748,720,000",2.70%,10.71,2.65,2.23
DHR,Danaher Corp,Common stocks,Large cap,Health Care,"$208,503,818,241",0.30%,33.76,7.08,4.69
MRK,Merck & Co Inc,Common stocks,Large cap,Health Care,"$205,131,907,043",3.26%,15.79,4.09,5.4
WFC,Wells Fargo,Common stocks,Large cap,Financials,"$196,960,305,729",1.44%,9.68,2.52,1.05
UPS,United Parcel Service Inc Class B,Common stocks,Large cap,Industrials,"$189,779,020,000",2.07%,12.66,1.95,11.45
MCD,Mcdonalds Corp,Common stocks,Large cap,Consumer Discretionary,"$180,646,471,391",2.18%,24.46,7.78,-40.11
QCOM,Qualcomm Inc,Common stocks,Large cap,Information Technology,"$178,269,168,904",1.75%,18.15,4.95,15.99
UNP,Union Pacific Corp,Common stocks,Large cap,Industrials,"$175,363,758,820",1.62%,26.72,8.04,12.31
SCHW,Charles Schwab Corporation,Common stocks,Large cap,Financials,"$172,499,538,125",0.80%,30.88,9.31,2.94
TXN,Texas Instrument Inc,Common stocks,Large cap,Information Technology,"$171,359,901,999",2.32%,22.73,9.34,13.22
T,AT&T Inc.,Common stocks,Large cap,Communication Services,"$170,500,849,728",8.50%,8.62,1.01,0.93
NFLX,Netflix Inc,Common stocks,Large cap,Communication Services,"$167,223,828,478",0.00%,33.83,5.63,10.92
NEE,Nextera Energy Inc,Common stocks,Large cap,Utilities,"$165,404,276,047",1.86%,46.48,9.69,4.46
LIN,Linde Plc,Common stocks,Large cap,Materials,"$165,370,658,410",1.34%,43.72,5.37,3.8
MS,Morgan Stanley,Common stocks,Large cap,Financials,"$163,775,979,042",2.66%,11.31,2.9,1.55
BMY,Bristol Myers Squibb,Common stocks,Large cap,Health Care,"$159,358,804,270",2.72%,22.82,3.44,4.43
TMUS,T Mobile US Inc,Common stocks,Large cap,Communication Services,"$158,022,686,281",0.00%,53.06,1.97,2.32
RTX,Raytheon Technologies Corporation,Common stocks,Large cap,Industrials,"$151,396,364,419",1.99%,38.98,2.35,2.06
MDT,Medtronic Plc,Common stocks,Large cap,Health Care,"$147,475,401,838",2.27%,30.68,4.64,2.87
AMD,Advanced Micro Devices Inc,Common stocks,Large cap,Information Technology,"$144,204,243,461",0.00%,46.74,8.77,19.71
SPGI,S&P Global Inc,Common stocks,Large cap,Financials,"$143,842,635,957",0.74%,47.91,17.34,71.29
AXP,American Express,Common stocks,Large cap,Financials,"$143,657,705,468",0.90%,18.2,3.36,6.57
PM,Philip Morris International Inc,Common stocks,Large cap,Consumer Staples,"$142,716,056,461",5.27%,15.96,4.54,-17.68
CVS,CVS Health Corp,Common stocks,Large cap,Health Care,"$141,803,626,425",1.88%,17.37,0.49,1.82
LOW,Lowes Companies Inc,Common stocks,Large cap,Consumer Discretionary,"$141,428,574,073",1.40%,17.27,0,-30.16
AMGN,Amgen Inc,Common stocks,Large cap,Health Care,"$135,448,551,454",2.97%,23.09,5.21,20.31
PYPL,Paypal Holdings Inc,Common stocks,Large cap,Information Technology,"$135,338,620,743",0.00%,33.86,5.33,6.5
HON,Honeywell International Inc,Common stocks,Large cap,Industrials,"$135,115,298,675",1.92%,24.43,3.93,7.04
COP,ConocoPhillips,Common stocks,Large cap,Energy,"$134,501,035,806",1.70%,16.2,2.93,2.88
DE,Deere & Company,Common stocks,Large cap,Industrials,"$132,717,967,703",0.90%,22.45,3.01,7.12
INTU,Intuit Inc,Common stocks,Large cap,Information Technology,"$131,678,618,656",0.53%,63.2,11.54,8.8
ANTM,Anthem Inc,Common stocks,Large cap,Health Care,"$122,780,045,082",0.96%,20.37,0.89,3.45
AMAT,Applied Material Inc,Common stocks,Large cap,Information Technology,"$121,608,106,005",0.87%,19.08,5.03,10.51
CAT,Caterpillar Inc,Common stocks,Large cap,Industrials,"$118,886,764,114",1.95%,18.25,2.33,7.19
PLD,"Prologis, Inc",REITs,Large cap,Real Estate,"$118,688,144,094",1.66%,41.56,24.94,3.23
LMT,Lockheed Martin Corp,Common stocks,Large cap,Industrials,"$118,602,343,373",2.40%,18.45,1.77,10.63
IBM,International Business Machines Co,Common stocks,Large cap,Information Technology,"$118,232,283,859",4.90%,20.66,2.06,6.28
NOW,Servicenow Inc,Common stocks,Large cap,Information Technology,"$116,552,000,000",0.00%,519.78,19.77,32.35
BLK,Blackrock Inc,Common stocks,Large cap,Financials,"$114,013,555,662",2.28%,19.92,5.88,3.11
GS,Goldman Sachs Group Inc,Common stocks,Large cap,Financials,"$113,306,248,141",2.15%,5.43,1.95,1.04
AMT,American Tower Corporation,REITs,Large cap,Real Estate,"$111,705,454,014",2.11%,44.48,11.94,22.48
BA,Boeing,Common stocks,Large cap,Industrials,"$111,086,812,059",0.00%,-27.23,1.78,-7.63
C,Citigroup Inc,Common stocks,Large cap,Financials,"$110,771,626,759",3.61%,5.39,1.54,0.55
CHTR,Charter Communications Inc Class A,Common stocks,Large cap,Communication Services,"$108,241,237,935",0.00%,23.55,2.09,7.8
ISRG,Intuitive Surgical Inc,Common stocks,Large cap,Health Care,"$105,944,517,173",0.00%,51.69,18.55,9.11
SYK,Stryker Corp,Common stocks,Large cap,Health Care,"$102,024,341,558",0.95%,51.71,5.96,6.93
SBUX,Starbucks Corp,Common stocks,Large cap,Consumer Discretionary,"$101,663,514,000",2.11%,23.89,3.35,-12.41
TGT,Target Corp,Common stocks,Large cap,Consumer Discretionary,"$101,510,015,824",1.53%,14.84,0.96,8.04
GE,General Electric,Common stocks,Large cap,Industrials,"$101,137,613,144",0.35%,-15.39,1.36,2.58
EL,Estee Lauder Inc Class A,Common stocks,Large cap,Consumer Staples,"$100,389,337,561",0.81%,20.35,5.66,10.65
MO,Altria Group Inc,Common stocks,Large cap,Consumer Staples,"$94,551,898,464",6.66%,37.99,4.48,-58.48
BKNG,Booking Holdings Inc,Common stocks,Large cap,Consumer Discretionary,"$93,494,163,918",0.00%,83.6,8.53,15.77
ADP,Automatic Data Processing Inc,Common stocks,Large cap,Information Technology,"$92,682,987,722",1.77%,34.44,5.98,18.71
CB,Chubb Ltd,Common stocks,Large cap,Financials,"$92,559,944,799",1.46%,10.77,2.26,1.54
MU,Micron Technology Inc,Common stocks,Large cap,Information Technology,"$89,425,400,005",0.25%,13.59,0,1.92
ZTS,Zoetis Inc,Common stocks,Large cap,Health Care,"$89,377,068,735",0.57%,44.55,11.49,19.98
CME,CME Group Inc Class A,Common stocks,Large cap,Financials,"$87,906,811,282",1.50%,32.99,18.74,3.16
ADI,Analog Devices Inc,Common stocks,Large cap,Information Technology,"$87,529,688,644",1.68%,69.47,10.37,2.38
MDLZ,Mondelez International Inc,Common stocks,Large cap,Consumer Staples,"$85,888,434,167",2.14%,20.46,2.99,3.11
MMC,Marsh & McLennan Inc,Common stocks,Large cap,Financials,"$85,077,999,739",1.22%,27.43,4.29,7.83
MMM,3M,Common stocks,Large cap,Industrials,"$85,074,124,640",3.92%,14.62,2.41,5.75
DUK,Duke Energy Corp,Common stocks,Large cap,Utilities,"$84,719,737,349",3.51%,22.34,3.38,1.73
USB,US Bancorp,Common stocks,Large cap,Financials,"$84,216,538,439",3.07%,11.11,3.71,1.54
CSX,CSX Corp,Common stocks,Large cap,Industrials,"$81,762,117,533",1.01%,21.71,6.53,6.09
PNC,"PNC Financial Services Group, Inc.",Common stocks,Large cap,Financials,"$81,477,333,913",2.49%,14.97,4.26,1.46
HCA,"HCA Healthcare, Inc.",Common stocks,Large cap,Health Care,"$79,856,684,351",0.75%,11.45,1.36,-85.35
TFC,Truist Financial Corporation,Common stocks,Large cap,Financials,"$79,154,841,424",3.14%,13.34,3.56,1.16
CCI,Crown Castle International Corp.,REITs,Large cap,Real Estate,"$78,157,360,331",3.06%,72.51,12.33,9.62
LRCX,Lam Research Corp,Common stocks,Large cap,Information Technology,"$77,744,824,695",1.04%,17.29,4.71,12.26
CI,Cigna Corp,Common stocks,Large cap,Health Care,"$77,575,681,342",1.68%,14.44,0.45,1.64
BDX,Becton Dickinson,Common stocks,Large cap,Health Care,"$76,358,516,587",1.26%,45.84,3.83,3.18
ICE,Intercontinental Exchange Inc,Common stocks,Large cap,Financials,"$75,759,727,260",1.01%,18.32,8.26,3.27
SO,Southern Co,Common stocks,Large cap,Utilities,"$75,276,087,677",3.66%,31.93,3.26,2.71
GILD,Gilead Sciences Inc,Common stocks,Large cap,Health Care,"$74,205,016,326",4.75%,12.19,2.72,3.6
TJX,"TJX Companies, Inc.",Common stocks,Large cap,Consumer Discretionary,"$73,958,460,428",1.67%,30.72,1.52,12.78
REGN,Regeneron Pharmaceuticals Inc,Common stocks,Large cap,Health Care,"$73,306,064,249",0.00%,9.14,4.56,3.93
FCX,"Freeport-McMoRan, Inc.",Common stocks,Large cap,Materials,"$73,131,843,635",0.60%,16.92,3.2,5.21
NSC,Norfolk Southern Corp,Common stocks,Large cap,Industrials,"$72,289,208,423",1.54%,22.79,6.49,5.02
AON,Aon Plc,Common stocks,Large cap,Financials,"$71,876,837,485",0.62%,57.23,5.89,67.69
EW,Edwards Lifesciences Corp,Common stocks,Large cap,Health Care,"$70,910,867,781",0.00%,48.26,13.55,12.43
EOG,EOG Resources Inc,Common stocks,Large cap,Energy,"$70,750,169,531",1.60%,15.14,3.6,3.18
MRNA,"Moderna, Inc.",Common stocks,Large cap,Health Care,"$69,754,738,985",0.00%,5.97,3.78,5.15
NOC,Northrop Grumman Corp,Common stocks,Large cap,Industrials,"$69,746,344,111",1.40%,9.95,1.96,5.39
PGR,Progressive Corp,Common stocks,Large cap,Financials,"$68,357,096,888",1.62%,20.44,1.43,3.73
D,Dominion Energy Inc,Common stocks,Large cap,Utilities,"$68,291,169,420",3.00%,21.05,4.89,4.31
PSA,Public Storage,REITs,Large cap,Real Estate,"$67,224,754,096",2.07%,38.7,19.68,7.45
GD,General Dynamics Corp,Common stocks,Large cap,Industrials,"$67,000,292,331",1.96%,20.59,1.74,3.8
ITW,Illinois Tool Inc,Common stocks,Large cap,Industrials,"$66,843,293,929",2.19%,25.31,4.62,18.81
FISV,Fiserv Inc,Common stocks,Large cap,Information Technology,"$66,511,764,427",0.00%,50.98,4.1,2.2
EQIX,"Equinix, Inc.",REITs,Large cap,Real Estate,"$66,309,821,826",1.59%,138.09,9.99,6.35
WM,Waste Management Inc,Common stocks,Large cap,Industrials,"$65,571,035,319",1.49%,36.01,3.66,9.18
F,Ford Motor Company,Common stocks,Large cap,Consumer Discretionary,"$65,569,702,585",1.20%,3.89,0.48,1.44
SHW,Sherwin Williams,Common stocks,Large cap,Materials,"$65,288,027,130",0.90%,36.24,3.27,27.73
VRTX,Vertex Pharmaceuticals Inc,Common stocks,Large cap,Health Care,"$65,100,351,423",0.00%,28.04,8.59,6.5
GM,General Motors,Common stocks,Large cap,Consumer Discretionary,"$64,252,603,522",0.00%,6.83,0.51,1.13
CL,Colgate-Palmolive,Common stocks,Large cap,Consumer Staples,"$63,372,341,477",2.37%,29.57,3.64,105.18
BSX,Boston Scientific Corp,Common stocks,Large cap,Health Care,"$63,161,103,000",0.00%,65.03,5.31,3.85
ATVI,Activision Blizzard Inc,Common stocks,Large cap,Communication Services,"$62,481,641,229",0.59%,23.37,7.1,3.58
MCO,Moodys Corp,Common stocks,Large cap,Financials,"$62,242,251,022",0.76%,28.44,10.01,23.09
NEM,Newmont Corporation,Common stocks,Large cap,Materials,"$61,929,816,133",2.78%,53.39,5.07,2.83
ETN,"Eaton Corporation, PLC",Common stocks,Large cap,Industrials,"$61,617,675,204",1.99%,29.36,3.14,3.84
PXD,Pioneer Natural Resource,Common stocks,Large cap,Energy,"$61,449,655,795",1.24%,29.1,3.44,2.7
FDX,FedEx Corporation,Common stocks,Large cap,Industrials,"$59,623,951,581",1.30%,12.04,0.65,2.52
FIS,Fidelity National Information Services,Common stocks,Large cap,Information Technology,"$59,526,532,539",1.67%,149.09,4.29,1.31
SLB,Schlumberger Nv,Common stocks,Large cap,Energy,"$58,965,296,057",1.19%,32.02,2.57,4.01
MET,Metlife Inc,Common stocks,Large cap,Financials,"$58,811,577,232",2.66%,9.29,0.91,0.87
EMR,Emerson Electric,Common stocks,Large cap,Industrials,"$58,431,078,000",2.06%,21.4,3.15,5.75
KLAC,KLA-Tencor Corporation,Common stocks,Large cap,Information Technology,"$56,571,003,995",1.07%,19.4,6.93,14.31
MAR,Marriott International Inc,Common stocks,Large cap,Consumer Discretionary,"$56,143,723,003",0.00%,53.1,4.05,41.27
HUM,Humana Inc,Common stocks,Large cap,Health Care,"$55,139,664,834",0.64%,18.97,0.66,3.46
APD,Air Products And Chemicals Inc,Common stocks,Large cap,Materials,"$55,054,644,366",2.40%,25.69,5.03,4.05
COF,Capital One Financial Corp,Common stocks,Large cap,Financials,"$54,849,778,383",1.64%,4.67,1.81,0.92
ILMN,Illumina Inc,Common stocks,Large cap,Health Care,"$54,491,560,000",0.00%,73.72,12.04,5.22
FTNT,Fortinet Inc,Common stocks,Large cap,Information Technology,"$54,440,852,934",0.00%,92.09,16.29,71.49
OXY,Occidental Petroleum Corp,Common stocks,Large cap,Energy,"$53,066,536,918",0.28%,34.96,2.04,2.62
AIG,American International Group Inc,Common stocks,Large cap,Financials,"$52,914,866,558",1.99%,5.59,1.02,0.79
SRE,Sempra Energy,Common stocks,Large cap,Utilities,"$52,088,837,353",3.36%,42,4.05,2.03
ADM,Archer-Daniels-Midland Company,Common stocks,Large cap,Consumer Staples,"$51,944,795,093",1.62%,18.24,0.61,2.2
DG,Dollar General Corp,Common stocks,Large cap,Consumer Discretionary,"$51,792,911,678",0.74%,21.8,1.52,8.35
ECL,Ecolab Inc,Common stocks,Large cap,Materials,"$51,046,583,575",1.11%,46.29,4.01,7.24
SNPS,Synopsys Inc,Common stocks,Large cap,Information Technology,"$50,886,951,556",0.00%,57.44,11.3,9.69
ROP,Roper Technologies Inc,Common stocks,Large cap,Industrials,"$49,871,994,857",0.49%,43.67,8.19,4.35
NXPI,NXP Semiconductors Nv,Common stocks,Large cap,Information Technology,"$49,729,977,510",1.33%,27.33,4.5,7.83
CNC,Centene Corp,Common stocks,Large cap,Health Care,"$49,684,267,983",0.00%,10.23,0.39,1.85
AEP,American Electric Power Inc,Common stocks,Large cap,Utilities,"$49,248,817,052",3.07%,20.01,2.93,2.22
KHC,Kraft Heinz,Common stocks,Large cap,Consumer Staples,"$48,248,580,253",4.00%,47.65,1.85,0.98
DXCM,Dexcom Inc,Common stocks,Large cap,Health Care,"$48,215,612,473",0.00%,324.39,19.7,22.29
LHX,"L3Harris Technologies, Inc.",Common stocks,Large cap,Industrials,"$48,158,766,611",1.66%,25.79,2.7,2.46
